System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
HAT-P-4 b / TYC 2569-744-1;https://academic.oup.com/mnras/article/439/1/1063/1749653;0;2007/2014;G0V / G2V;310.00;;28446.0;;1;S;1.24;1.17;;;;;;;;;
HAT-P-4 b;https://academic.oup.com/mnras/article/439/1/1063/1749654;1;2007/2014;;;;;;;;;;;0.68;0.0446;3.0565;0.00;;1.27;89.67;transit
CoRoT-7 Abc B;http://exoplanet.eu/catalog/corot-7_b/;0;2009/2019;KoV / ?;250.00;;12160.0;;2;S;0.93;;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
CoRoT-7 b;http://exoplanet.eu/catalog/corot-7_b/;1;2009;;;;;;;;;;;0.0149;0.0172;0.853585;0.12;;0.136;80.1;transit
CoRoT-7 c;http://exoplanet.eu/catalog/corot-7_c/;1;2009;;;;;;;;;;;0.04266;0.046;3.698;0.12;;;;radial velocity
HD 38529 Abc B;http://exoplanet.eu/catalog/hd_38529_b/;0;2000-2002;G4VI / M3.0V;40.00;0.169;12042.0;;2;S;1.48;0.3;Debris disk (>86 AU);;;;;;;;
HD 38529 b;http://exoplanet.eu/catalog/hd_38529_b/;1;2000;;;;;;;;;;;0.87;0.131;14.31;0.25;95.9;;57.0;radial velocity
HD 38529 c;http://exoplanet.eu/catalog/hd_38529_c/;1;2002;;;;;;;;;;;17.7;3.695;2134.76;0.36;22.52;;48.3;radial velocity
WASP-29 Ab B;http://exoplanet.eu/catalog/wasp-29_b/;0;2010-2021;K4V / M3;80.00;0.317;10994.0;;1;S;0.82;0.38;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
WASP-29 b;http://exoplanet.eu/catalog/wasp-29_b/;1;2010;;;;;;;;;;;0.2429;0.046;3.923;0.03;;0.841;88.8;transit
WASP-59 Ab B;http://exoplanet.eu/catalog/wasp-59_b/;0;2011-2021;K5V / K7;125.00;0.463;9512.0;;1;S;0.72;0.62;Fontanive. C. & Bardalez Gagliuffi. D. 2021 FrASS;;;;;;;;
WASP-59 b;http://exoplanet.eu/catalog/wasp-59_b/;1;2011;;;;;;;;;;;0.70;;7.900;;;0.900;;transit
HD 20782 b / HD 20781 bc;http://exoplanet.eu/catalog/hd_20782_b/;0;2006;G2V / K0V;36.02;0.457;9080.0;0.240;3;S;1.0;0.84;;;;;;;;;
HD 20782 b;http://exoplanet.eu/catalog/hd_20782_b/;1;2006;;;;;;;;;;;1.9;1.381;591.9;0.97;147.7;;;radial velocity
