Discovery Type,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Astrometry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2
Disk Kinematics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Eclipse Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,9,9,10,10,12,13,15,15,15,17,17
Imaging,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,9,16,16,22,24,26,33,35,40,42,43,44,48,50,58,62,62
Microlensing,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,8,10,12,13,20,25,31,35,45,54,75,89,109,130,169,176
Orbital Brightness Modulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,6,6,6,6,6,6,9,9,9
Pulsar Timing,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,7,7,7,7,7,7,7
Pulsation Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Radial Velocity,0,0,0,1,7,8,14,27,43,55,83,104,122,155,176,210,247,320,361,408,442,474,524,571,621,670,719,785,830,908,1024,1027
Transit,0,0,0,0,0,0,0,0,0,0,1,1,6,6,11,27,44,62,108,187,280,360,1162,1262,2715,2804,3057,3170,3336,3751,3939,3945
Transit Timing Variations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,14,14,15,16,17,20,21,22,24,24
