System;Link;Star/Planet;Discovery;Spectral Type;Distance  [pc];a_Triple or Quadruple [au];a_Binary1 [au];a_Binary2 [au];Number of Planets;Number of Stars;m1 [m_sun];m2 [m_sun];m3  [m_sun];m4  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihel [deg];Radius [R_J];Inclination [deg];Detection Method
Fomalhaut Ab + TW PsA;http://exoplanet.eu/catalog/fomalhaut_b/;0;2008-2012;A3Va / K4V / M4V;7.6;57400.0;;;1;3;1.92;0.81;0.18;;C=M dwarf;;;;;;;;
Fomalhaut b;http://exoplanet.eu/catalog/fomalhaut_b/;1;;;;;;;;;;;;;;2.0;115.0;320000.0;0.11;;;;imaging
HD 2638 + HD 2567;http://exoplanet.eu/catalog/hd_2638_b/;0;2005;G5 / M1V / G0;53.71;44000.0;28.0;;1;3;0.87;0.46;;;;;;;;;;;
HD 2638 b;http://exoplanet.eu/catalog/hd_2638_b/;1;;;;;;;;;;;;;;0.48;0.044;3.438;0.041;126.9;1.04;;radial velocity
V 1298 Tau Ab-e+BC;http://exoplanet.eu/catalog/v_1298_tau_b/;0;2019;K1 / K7 / ?;108.5;14795.0;;;4;3;1.1;0.66;;;;;;;;;;;
V 1298 Tau b;http://exoplanet.eu/catalog/v_1298_tau_b/;1;;;;;;;;;;;;;;2.20;0.169;24.140;0.290;85.0;0.916;89.0;transit
V 1298 Tau c;http://exoplanet.eu/catalog/v_1298_tau_c/;1;;;;;;;;;;;;;;;0.083;8.2496;0.430;92.0;0.499;88.49;transit
V 1298 Tau d;http://exoplanet.eu/catalog/v_1298_tau_d/;1;;;;;;;;;;;;;;;0.108;12.403;0.210;88.0;0.572;89.04;transit
V 1298 Tau e;http://exoplanet.eu/catalog/v_1298_tau_e/;1;;;;;;;;;;;;;;;0.308;60.0;0.570;91.0;0.78;89.4;transit
WASP-8 AbB+C;http://exoplanet.eu/catalog/wasp-8_b/;0;2008-2014;G6 / ? / ?;87.0;12350.0;348.0;;2;3;1.033;0.34;;;planet w. retrograde orbit;;;;;;;;
WASP-8 b;http://exoplanet.eu/catalog/wasp-8_b/;1;2008;;;;;;;;;;;;;2.244;0.08;8.158;0.31;274.27;1.083;88.55;transit
WASP-8 c;http://exoplanet.eu/catalog/wasp-8_c/;1;2014;;;;;;;;;;;;;;;;;;;;
Prox Cen+alf Cen AB;http://exoplanet.eu/catalog/proxima_cen_b/;0;2016;G2V / K1V / M5.5V;1.30;8700.0;;;1;3;1.1;0.934;0.12;;Triplestar: Kervella et al. 2016;;;;;;;;
Prox Cen b;http://exoplanet.eu/catalog/proxima_cen_b/;1;2016;;;;;;;;;;;;calculated temperature 216 K;0.004;0.0485;11.186;0.00;;;;radial velocity
Prox Cen c;http://exoplanet.eu/catalog/proxima_centauri_c/;1;2019;;;;;;;;;;;;calculated temperature 39 K;0.0182;1.48;1894.0;0.00;;;;radial velocity
alf Cen AB+Prox Cen;http://exoplanet.eu/catalog/alf_cen_b_b/;0;2012;G2V / K1V / M5.5V;1.34;8700.0;23.68;;1;3;1.1;0.934;0.12;;eccentricity_AB = 0.5;;;;;;;;
HD 40979 BC+Ab;http://exoplanet.eu/catalog/hd_40979_b/;0;2002;F8V / K5 / ?;33.3;6400.0;129.000;;1;3;0.833;0.38;1.1;;Debris disk (>86 AU);;;;;;;;
HD 40979 b;http://exoplanet.eu/catalog/hd_40979_b/;1;; ;;;;;;;;;;;;3.28;0.83;263.1;0.25;310.7;;;radial velocity
HIP 65 AbB+C;http://exoplanet.eu/catalog/hip_65a_b/;0;2020;K4V / M7.5 / ?;61.89;4557.0;269.0;;1;3;0.78;0.11;;;;;;;;;;;
HIP 65 b;http://exoplanet.eu/catalog/hip_65a_b/;1;;;;;;;;;;;;;;3.213;0.01782;0.9810;0.00;;2.0300;77.18;transit
K2-290 AbcB+C;http://adsabs.harvard.edu/doi/10.1093/mnras/stz139;0;2019;F8 / M / M;275.0;2467.0;113.0;;2;3;1.194;0.368;0.253;;;;;;;;;;
K2-290 b;http://exoplanet.eu/catalog/k2-290_b/;1;2019;;;;;;;;;;;;;0.0664;0.0923;9.21165;0.00;;0.273;88.14;transit
K2-290 c;http://exoplanet.eu/catalog/k2-290_c/;1;2019;;;;;;;;;;;;;0.774;0.305;48.36685;0.00;;1.006;89.37;transit
91 Aqr BC+Ab;http://exoplanet.eu/catalog/91_aqr_b/;0;2003;K0III / K / K;45.5;2250.0;9.0;;1;3;1.4;1.0;1.0;;HD 219449 GJ 893.2;;;;;;;;
91 Aqr b;http://exoplanet.eu/catalog/91_aqr_b/;1;;;;;;;;;;;;;;3.2;0.7;181.4;0.03;177.3;;;radial velocity
WASP-108 AbB+C;http://exoplanet.eu/catalog/wasp-108_b/;0;2014;F9 / ? / ?;220.0;2000.0;32.09;;1;3;1.17;0.35;;;wide companion (>2000au) detected by Evans(2018);;;;;;;;
